"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Štěťulky","Anonymous",8,"Reflection","2024-07-05T07:12:30.247Z","","What didn't go well 😞","Řekové toho dali světu hodně: geomertie, kartografie, olympiáda... Ale taky si mohli od světa něco vzít. Třeba hajzl, do kterého jde spláchnout toaleťák aby koš nemusel být plný papírů od hoven 🤔 i ty blbý arabové mají alespoň sprchu na věnec"
"Štěťulky","Anonymous",8,"Reflection","2024-07-16T10:36:44.480Z","","What didn't go well 😞","Nigiris neumí použít ani štětku u hajzlu. Je investice do jejich začlenění worth it?"
"Štěťulky","Anonymous",8,"Reflection","2024-06-28T06:20:14.982Z","","What didn't go well 😞","Podařilo se nám naplnit snížení toxicity v našich kanálech? ☑️"
"Štěťulky","Anonymous",8,"Reflection","2024-07-19T13:02:26.628Z","","What went well 😄","Měli bychom si uvědomit jak máme v Česku krásné holky 👌☺️"
"Dary","Anonymous",6,"Reflection","2024-07-17T07:34:44.913Z","","What went well 😄","Když vás kamarád dojme darem."
"USA","Anonymous",5,"Reflection","2024-07-16T10:36:58.600Z","","What went well 😄","Brodie Rise from 50k do 150k in one and half year. Jak se daří riskovat vám?"
"USA","Anonymous",5,"Reflection","2024-07-16T12:18:59.576Z","","What didn't go well 😞","V USA vyloži checkin kufry na pás dříve než výstupis z letadla. V Německu čekáš přes hodinu. Kam se prodělala  německá preciznost?"
"USA","Anonymous",5,"Reflection","2024-07-16T10:53:04.504Z","","What didn't go well 😞","V USA vlastně není stát který bo z přírodního hlediska zajišťoval klidné žití. V Evropě a hlavně Česko jsem fakt strašně lucky. Žije se vám dobře v Česku?"
"USA","Anonymous",5,"Reflection","2024-07-16T10:35:54.080Z","","What didn't go well 😞","Reverse hike a rangerka. Trošku nás po cestě dolů odsoudila protože jsem měl oplocené čelo😀. Ale prezili  jsme a místo 9-12 hodin jsme to dali za 5😎"
"USA","Anonymous",5,"Reflection","2024-07-16T10:24:54.362Z","","What didn't go well 😞","Zalévání trávníků za deště? V USA běžné. Dochází nám v Evropě základní resources?"
"USA","Anonymous",5,"Reflection","2024-07-13T11:07:43.693Z","","What went well 😄","Kolik Dušana stál tripíq do USA?"
"USA","Anonymous",5,"Reflection","2024-07-19T14:41:40.057Z","","What went well 😄","Výdaje USA"
"USA","Anonymous",5,"Reflection","2024-07-16T10:40:38.140Z","","What went well 😄","Las Vegas casino jsem obral o 10 mil.. Nope jen dolarů. Je pařba v Las Vegas vážně worth it? (Casinos, Death Valley, Grand Canyon, David Caprfield)"
"USA","Anonymous",5,"Reflection","2024-07-16T10:33:02.057Z","","What went well 😄","V IHMC je nová budova pro biological research. Snaží se přijít na něco co by pálilo dobře tuky. Takže už to není jen security a robotics :)"
"USA","Anonymous",5,"Reflection","2024-07-16T10:31:06.988Z","","What went well 😄","V LA jsme omylem obklicili jednoho černocha. Myslel si že ho chceme okrást. Beze srandy. Nebo jsme ho prostě měli oskubat o vše?"
"USA","Anonymous",5,"Reflection","2024-07-16T10:28:47.606Z","","What went well 😄","V usa klasicky jsou hned všichni milý a snaží se pomoct. Proč na sebe musíme koukat v Evropě skrz prsty? Můžeme lidem důvěřovat? Každý nás přece nechce okrást nebo není vrah."
"Kuba","Anonymous",5,"Reflection","2024-07-02T08:54:37.613Z","","What went well 😄","V AirBance z Android týmu odchází člověk. (Bohužel to není Uchytil). Nicméně se otevírají dveře někomu novému. Bude Kuba součástí týmu? 🤔"
"Kuba","Anonymous",5,"Reflection","2024-06-28T06:19:54.682Z","","What went well 😄","Od té doby, co Kuba nemá práci, tak je s ním větší sranda. Change my mind. 🧠"
"30 let","Anonymous",4,"Reflection","2024-07-08T07:56:41.994Z","","What went well 😄","Já vím, je to ostuda, ale Amsterdam jsem navštívil až teď. 😬

Neměl jsem žádný očekávání.

Závěr: To město je 10x lepší než Praha - hezčí, zajímavější, spousta mini podniků, dobře vypadající supermarkety, milí lidi co umí anglicky, na magistrále se dalo přejít bez přechodu, protože nejezdila auta 😱

Tohle je budoucnost, kterou bych chtěl jít.

PS: ceny s Prahou srovnatelný, což je funny 😄"
"30 let","Anonymous",4,"Reflection","2024-07-05T15:39:33.601Z","","What went well 😄","30 pod 30 🥰"
"Restaurace a záchody","Anonymous",4,"Reflection","2024-07-16T10:42:37.334Z","","What went well 😄","Záchody kam se podíváš, zdarma a nesmrdi. V pralese, v poušti.. Proč to nejde i u nás?"
"Restaurace a záchody","Anonymous",4,"Reflection","2024-07-16T10:43:38.271Z","","What went well 😄","Už se nesedí v restauracich ani kavárnách. Vše drive thru. Nebo jen osobní pickup a čus. prý to udělal hodně covid a amici si odvykli chodit dovnitř podniku."
"Restaurace a záchody","Anonymous",4,"Reflection","2024-07-16T10:41:59.318Z","","What went well 😄","Neplatí se za vodu v restauraci. Trochu to byl nezvyk. Proč si myslíte že to není i u nás?"
"Auta a vlaky","Anonymous",4,"Reflection","2024-07-16T10:52:23.036Z","","What didn't go well 😞","Bordely v autě, odpadky až po střechu. To samé u baráku. Občas u baráku to vypadalo jak u nás u cikánu. 😭 je to normální a my Češi jsme jen velcí kutilové?"
"Auta a vlaky","Anonymous",4,"Reflection","2024-07-16T10:50:15.844Z","","What didn't go well 😞","Ani v nejlepší zemi na světě  Taky neumí zipove řazení. Obecně, řidiči tam jsou o dost opatrnější a ohleduplnejsi. Proč u nás tolik na silnici spěcháme a jsme za volantem agresivní? Petře?"
"Auta a vlaky","Anonymous",4,"Reflection","2024-07-05T07:20:12.479Z","","What didn't go well 😞","RegioJet: jeli jsme novým autobusem a vše se zdálo dobrý, ale po čase došel hajzl papír, vypnuli automat na kafe a lidi si pouštěli nahlas filmy (nemluvě o tureckým brečícím děcku).. tak jsem šel na zastávce copilota se zeptat jestli by automat na kafe zapli: ""To se nedá zapnout teď"" 😂 .. evidentně by měl RegioJet zcela zaniknout. EDIT: o 100km později to doplnili"
"Auta a vlaky","Anonymous",4,"Reflection","2024-07-19T13:46:59.406Z","","What didn't go well 😞","Na dálnici hotpursuit  nisan gtr a Ferrari "
"Auta a vlaky","Anonymous",4,"Reflection","2024-07-10T13:55:30.586Z","","What went well 😄","Evok je top a dá se v něm spát"
"Auta a vlaky","Anonymous",4,"Reflection","2024-07-16T09:01:24.822Z","","What went well 😄","Přijel už Dušan Kodiaqem? Bude mu to stačit po zkušenosti z USA? Vrátí se ještě někdy ke Scaličce?"
"Auta a vlaky","Anonymous",4,"Reflection","2024-06-28T06:18:42.455Z","","What went well 😄","Vláďův Evoque stále jezdí? Bylo zapotřebí zainvestovat nějaké statisíce navíc? 🤔"
"Trochu filozofické","Anonymous",4,"Reflection","2024-07-16T18:44:48.240Z","","What went well 😄","Kdyz cvicis, tak nespalis vic kalorii."
"Trochu filozofické","Anonymous",4,"Reflection","2024-07-16T10:48:23.419Z","","What went well 😄","Malá filozofická : Jste Češi nebo Evropani?"
"Dami a možnosti práce obecně","Anonymous",4,"Reflection","2024-07-18T06:17:47.300Z","","What didn't go well 😞","Ze zákulisí Dami: Dušanův kolega Lukáš: No, budu si teď muset najít něco jinýho 😀 Dúša ti poví určitě víc."
"Dami a možnosti práce obecně","Anonymous",4,"Reflection","2024-07-02T11:19:23.486Z","","What went well 😄","Regionální manažer Lidlu 91k hrubého. Wow. Prodavači už nás dotahují. Je na čase zvednout hodinovky? 😂"
"Dami a možnosti práce obecně","Anonymous",4,"Reflection","2024-07-19T14:38:59.838Z","","What went well 😄","DAMI, je v něm ještě nějaká práce?"
"Dami a možnosti práce obecně","Anonymous",4,"Reflection","2024-07-19T14:39:45.042Z","","What went well 😄","Harmonelo projekt v DAMI skončil. Bylo to jen kvůli egu CEO?"
"Takové ty ostřejší","Anonymous",3,"Reflection","2024-07-10T13:58:50.175Z","","What went well 😄","Dušan je zpět <3 a já můžu zase převzít míň konzervativní pozici v diskuzích, aneb migranty mlátit, ale ne upalovat"
"NVidia","Anonymous",2,"Reflection","2024-07-16T12:16:54.828Z","","What went well 😄","Nvidia revealed that the Las Vegas Hype Sphere is powered by 150 RTX A6000 GPUs.

Each of them has 48GB of video memory - that's a total of 7200GB of memory. All this hardware is needed to drive 1.2 million LED panels outside and 16000x16000 screens inside.

The total cost of the GPUs is over $1m.Sledujete LLM svet?"
