"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Takže jak to je s těmi","Anonymous",0,"Reflection","2024-11-23T12:38:22.859Z","","What went well 😄","Takže jak to je s těmi společnými výlety? Jet v listopadu s lidma z práce na kanáry a pak znovu na silvestra je ok, ale jet tam znovu za 2 měsíce je problém? 🤔 Takže kdo jsou ti praví kamarádi?




V návaznosti: S Dušanem jsme se bavili o tom, že by se to Thajsko dalo, takže bychom se k tomu plánu mohli vrátit. Ale to zase není pro Matěj a Vláďa, že?




Takže dokážeme najít společnou dovolenou na 3 týdny jak bylo původně v plánu? 🤔"
"Svět je pro mladé plné","Anonymous",0,"Reflection","2024-11-21T18:56:25.917Z","","What didn't go well 😞","Svět je pro mladé plné dokonalostí na sítích - kariéra, vzhled, sex.. Kdo by pak chtěl žít nudný život plný nedokonalostí? Co si o tom myslíte?"
"AirBank má omezený budget na","Anonymous",0,"Reflection","2024-11-20T13:16:34.985Z","","What didn't go well 😞","AirBank má omezený budget na příští rok co se týče peněz pro kontraktory. Je konec žní? 🌽 (""Museli jsme to tam trochu přeskládat"")"
"Fiala spustil s ODS a celkově","Anonymous",0,"Reflection","2024-11-18T11:01:58.398Z","","What went well 😄","Fiala spustil s ODS a celkově SPOLU web a rozhovory a kampaně na to, že jsou nejlepší vláda co tu byla od 89.

Myslím si, že je to výherní strategie - Babiško a ostatní dělají to samé a lidi tomu věří. Dokáže SPOLU přitáhnout nové voliče od Babiška? 🙏

Moc bych si to přál jen kvůli tomu, aby se ukázalo, že lidi jsou tupí a jen hloupě naslouchají."
"Co Kuba řekl v 1. kole","Anonymous",0,"Reflection","2024-11-18T10:32:42.761Z","","What didn't go well 😞","Co Kuba řekl v 1. kole pohovoru v Airbank? Proč nejprve všichni říkali, že je dobrej a do 2. kola půjde a pak najednou že ne?"
"Palec hore pro smartwings: držák na telefon","Anonymous",0,"Reflection","2024-11-15T11:25:00.009Z","","What went well 😄","Palec hore pro smartwings: držák na telefon."
"Druhý den po obstřiku bederní","Anonymous",0,"Reflection","2024-11-14T23:12:01.859Z","","What went well 😄","Druhý den po obstřiku bederní páteře. Až když člověk přestane cítit bolest, uvědomí si, jak moc špatný to je. Dá se na tom udělat závislost?"
"Tak jak jsme na tom s tím","Anonymous",0,"Reflection","2024-11-13T18:54:45.518Z","","What didn't go well 😞","Tak jak jsme na tom s tím zvaním lidí do posilky? Neměli by si někteří zamést před vlastním Prahem? 

Psáno 13. 11. ve vlaku z Prahy do Pce, když mi krysy poslali společnou fotku z gymu. 4 hodiny potom, co jsem psal jak je listopad depresivní a že jsem nešťastnej. Děkuju za endorfíny, které jsem cvičením s kamarády dostal - akorát že vůbec."
"Listopad je nejhorší měsíc.","Anonymous",0,"Reflection","2024-11-13T11:00:13.559Z","","What didn't go well 😞","Listopad je nejhorší měsíc. Je zima a vlhko, hnusný barvy, smrad tlejícího listí, tma, bez sněhu.. Myslím že už vloni jsem to do retra dával a stále to platí. Pls make listopad end. ✅"
"Manželství stejnopohlavních","Anonymous",0,"Reflection","2024-11-12T21:58:53.637Z","","What didn't go well 😞","Manželství stejnopohlavních párů. Co je komu co do toho, kdo koho kam mrdá a kdo s kým kde jak žije. Proč to holanďani pochopili a uznali už v roce 2001 a my to stále neuznáváme? 👦 👦

Co je ten opravdový problém za tím vším? Ztráta mužství v tom, že uznáme, že všichni nechtěj jen mrdat kundy? 🤔

Pokud nejsi latentní gej nebo člověk pod 80 IQ, nemá ti na tom co vadit - a pokud ano, je to dle mého názoru jen o výchově prudetními křesťanskými kurvičkami. Pokud ano, oni nebyli o nic lepší než dnešní arabáči. Change my mind."
"Jaký je to život, když musíš","Anonymous",0,"Reflection","2024-11-11T20:49:28.819Z","","What didn't go well 😞","Jaký je to život, když musíš ve 30 každý rok dva na FB repostnout fotky ze střední s tím, jak to bylo super skvělý. Když pomynu fakt, že to skvělý nebylo, tak vám přijde ok at nad tím pořád rozplývat? A ano, příspěvek publikovala nejtlustší holka ze třídy žijící v Broumově. 🧈"
"Příjmy (vs. výdaje) 2024, jak","Anonymous",0,"Reflection","2024-11-05T11:54:43.760Z","","What didn't go well 😞","Příjmy (vs. výdaje) 2024, jak jste na tom?"
"Ve všech životních fázích","Anonymous",0,"Reflection","2024-11-05T11:54:24.383Z","","What didn't go well 😞","Ve všech životních fázích jsem měl dostatek peněz. Ať už jako malý capart z kapesného, nebo jako brigádník, či čerstvý pracant v IT.




Moje výdaje byly vždy úměrné mým příjmům a mohl jsem si pořídit všechno, co jsem chtěl.




Nyní jsem starý kmet a vydělávám nejvíc, co jsem kdy vydělával, a poprvé se cítím limitován financemi do té míry, že nevěřím, že mám vůbec šanci na to to změnit."
"Ajak tohle","Anonymous",0,"Reflection","2024-11-04T12:59:40.962Z","","What didn't go well 😞","aJak tohle dopadne?"
"Vláďa mi zařídil Multisport.","Anonymous",0,"Reflection","2024-11-04T12:59:54.831Z","","What went well 😄","Vláďa mi zařídil Multisport. Už zase můžu žít naplno ♥️"
"Víte jak vznikl nazev pro","Anonymous",0,"Reflection","2024-11-04T10:53:43.445Z","","What went well 😄","Víte jak vznikl nazev pro blue tooth? (Panovník Finska co vše sjednotily)"
"Jsem fakt rád, že jsme to","Anonymous",0,"Reflection","2024-11-04T10:18:08.027Z","","What went well 😄","Jsem fakt rád, že jsme to dali až do Olmiku"
"Nastoupí Kuba","Anonymous",0,"Reflection","2024-11-04T10:17:39.122Z","","What went well 😄","Nastoupí Kuba do AirBank? 🤔"
"Fedora 41 je nejlepší systém","Anonymous",0,"Reflection","2024-11-04T10:17:32.761Z","","What went well 😄","Fedora 41 je nejlepší systém there is, change my mind"
"gymísek je fakt dobrá","Anonymous",0,"Reflection","2024-11-04T10:17:47.001Z","","What went well 😄","gymísek je fakt dobrá věc"
