"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Vláďa mi zařídil Multisport.","Anonymous",0,"Reflection","2024-11-26T10:53:42.646Z","","What went well 😄","Vláďa mi zařídil Multisport. Už zase můžu žít naplno ♥️"
"vlado: Ve všech životních","Anonymous",0,"Reflection","2024-11-26T10:54:09.883Z","","What didn't go well 😞","vlado: Ve všech životních fázích jsem měl dostatek peněz. Ať už jako malý capart z kapesného, nebo jako brigádník, či čerstvý pracant v IT."
"vlado: jsem fakt rád, že jsme","Anonymous",0,"Reflection","2024-11-26T10:53:21.591Z","","What went well 😄","vlado: jsem fakt rád, že jsme to dali až do Olmíku"
"Dušan: Víte jak vznikl název","Anonymous",0,"Reflection","2024-11-26T10:53:35.707Z","","What went well 😄","Dušan: Víte jak vznikl název pro blue tooth?"
"vlado: fedora 41 je nejlepší","Anonymous",0,"Reflection","2024-11-26T10:53:12.548Z","","What went well 😄","vlado: fedora 41 je nejlepší systém there is, change my mind"
"Kuba","Anonymous",0,"Reflection","2024-11-26T10:52:24.890Z","","What went well 😄","KUBA: Palec hore pro smartwings: držák na telefon."
"Naobordovali jsme Matěje","Anonymous",0,"Reflection","2024-12-08T10:10:32.585Z","","What didn't go well 😞","Naobordovali jsme Matěje správně na instagram ?"
"je kubova pohodlnost už","Anonymous",0,"Reflection","2024-12-13T17:34:40.213Z","","What didn't go well 😞","je kubova pohodlnost už omezující?"
"Jak je Tom","Anonymous",0,"Reflection","2024-12-13T17:33:42.947Z","","What went well 😄","Jak je na tom Kuba s AirBankou? Jiz plne onboarded?"
"Jaké máte náklady, kolik","Anonymous",0,"Reflection","2024-12-13T17:32:01.599Z","","What didn't go well 😞","Jaké máte náklady, kolik ročně ušetříte peněz? Bude to stačit na hypo bez změny životního stylu?"
"Míra stále nezvládá můj","Anonymous",0,"Reflection","2024-12-13T12:36:37.896Z","","What didn't go well 😞","Míra stále nezvládá můj odchod do Dami"
"Kůň vyprávěl o tom jak se za nás pral u Káćka. Přitom mu vždycky lezl do prdýlky 😔","Anonymous",0,"Reflection","2024-12-13T12:17:16.350Z","","What didn't go well 😞","Kůň vyprávěl o tom jak se za nás pral u Káćka. Přitom mu vždycky lezl do prdýlky 😔"
"Laser za","Anonymous",0,"Reflection","2024-12-13T11:58:37.300Z","","What went well 😄","Točící se laser za 2 mega = zaměření baráku za 40minut a 25k"
"Cestovatelské retro se koná","Anonymous",0,"Reflection","2024-12-12T13:49:42.169Z","","What didn't go well 😞","Cestovatelské retro se koná 👍 ale příště třeba v potaz vzít vánoční akce"
"Research: Jaké jsou tři","Anonymous",0,"Reflection","2024-12-12T11:02:29.406Z","","What didn't go well 😞","Research: Jaké jsou tři redflags které u holek nedáváte?"
"V klubu na vetsi akci bez","Anonymous",0,"Reflection","2024-12-12T11:00:46.298Z","","What went well 😄","V klubu na vetsi akci bez kapky alkoholu. Jak to slo? Ma něco takového smysl nebo společenská sebevražda?"
"TSLA za 400$+, prodáno v","Anonymous",0,"Reflection","2024-12-12T09:28:00.326Z","","What didn't go well 😞","TSLA za 400$+, prodáno v dubnu za 180$ 😢 proč Tesla roste, když její auta už nejsou tak výjimečná?"
"Inteligentní systém semaforů","Anonymous",0,"Reflection","2024-12-10T22:49:22.999Z","","What went well 😄","Inteligentní systém semaforů v HK získal ocenění v kategorii stavba roku. Zrychlují průjezd záchranek, hasičů nebo MHD. Obecně zvažuje propustnost o desítky procent. Lidé v komentářích se však zmiňují o systému po lobotomii, nepouštěči ze všech směrů apod. Čím to je, že jsou lidé tohoto názoru?"
"U mekíska","Anonymous",0,"Reflection","2024-12-10T22:12:50.334Z","","What didn't go well 😞","to si takhle zaparkuješ u mekíska"
"Marihuana by se měla zakázat","Anonymous",0,"Reflection","2024-12-10T14:54:17.664Z","","What didn't go well 😞","Marihuana by se měla zakázat a uživatele trestně stíhat. Když vlezu do MHD a smrdí to tam tou mrdkou před kterou není úniku, tak je to fakt na piču. Konec brečkání.."
"Karoq vs. Elroq

Elroq výhody","Anonymous",0,"Reflection","2024-12-10T14:34:50.546Z","","What went well 😄","Karoq vs. Elroq




Elroq výhody - manévrovatelnost díky platformě, provoz na km je 1/3 ceny, větší zrychlení i odpich.




Karoq výhody - delší dojezd o 300 km, větší max rychlost (nemá omezovač zatím)




Cenově stejné.

Proč by si vůbec někdo kupoval Karoq?"
"Jak dlouho bude ještě","Anonymous",0,"Reflection","2024-12-09T18:40:03.477Z","","What didn't go well 😞","Jak dlouho bude ještě společnost nastavená tak, že mužství = benzínový 5l, motorka nebo zarytý odmítač LGBTQ?




Kdy společnost začne uznávat to, že si jako muž zvládneš poradit, obhospodaříš rodinu nebo lidi na kterých ti záleží, zachráníš ročně 10 želv a budeš inspirovat ostatní?




Doufám, že tohle vymře s naší generací a mladí už nebudou takoví zabedněnci povrchní 👏"
"Vy vyznavači a milovníci","Anonymous",0,"Reflection","2024-12-09T16:56:16.011Z","","What didn't go well 😞","Vy vyznavači a milovníci hlavního města Prahy. Už jsme si vyjasnili, že tam nemáte trvalé bydliště, protože je to špatný město a v hloubi duše víte, že tam nechcete umřít.

Další otázka je: máte tam praktika? zubaře? Nebo se přeci jen na Prahu nechcete tolik vázat?




Proč vlastně stále přesvědčujete některé z nás, aby se do toho molochu nastěhovali a nevyužívali jen jeho občasné pohostinosti a peněz?"
"Jsem v právu nasraný, když","Anonymous",0,"Reflection","2024-12-09T14:20:33.675Z","","What didn't go well 😞","Jsem v právu nasraný, když Pajule nechce vůbec tu situaci mezi náma řešit, ani se nějak final sejít a uzavřít.

Be honest, u are my bros 🏩"
"Delal jsem upravy do Python","Anonymous",0,"Reflection","2024-12-09T13:36:10.428Z","","What went well 😄","Delal jsem upravy do Python backend service a Angular FE. A musim rict, ze ve frameworkach a jazycich, ktere nejsou uplne moje native, tak sila Copilot assistenta je mnohem vyssi."
"Jezdit sam v 🐻, is ok nebo","Anonymous",0,"Reflection","2024-12-09T10:57:22.212Z","","What went well 😄","Jezdit sam v 🐻, is ok nebo prebytecny rozmach? Masaze jsou super, spotreba uz tolik ne."
"Poprali jsme všichni","Anonymous",0,"Reflection","2024-12-07T18:16:21.013Z","","What went well 😄","Poprali jsme všichni Vladovi?"
"Tak už klíče","Anonymous",0,"Reflection","2024-12-10T13:09:26.474Z","","What went well 😄","Tak už klíče zacinkaly.."
"Prodal jsem BTC, když byl za","Anonymous",0,"Reflection","2024-12-06T11:42:55.285Z","","What didn't go well 😞","Prodal jsem BTC, když byl za 97k USD, jsem dement?"
"Prodal jsem BTC den předtím","Anonymous",0,"Reflection","2024-12-06T11:42:32.553Z","","What didn't go well 😞","Prodal jsem BTC den předtím než poslanci zavedli časový test?"
"Vadí vám někomu WOKE?

Pokud","Anonymous",0,"Reflection","2024-12-05T13:27:14.794Z","","What didn't go well 😞","Vadí vám někomu WOKE?




Pokud ano, čeho přesně se bojíte nebo vám vadí? Proč to v jiných zemích funguje?




Není pokrytecký odsuzovat Islámský režim se zahalováním žen a legálním minimálním věku pro svatbu se ženou 13 let a AT the same time být proti lgbt? 🤔"
"filozofická: Jaký je váš","Anonymous",0,"Reflection","2024-12-03T21:38:30.494Z","","What went well 😄","filozofická: Jaký je váš nejbližší ale velký cíl Za kterým jdete?"
"PS5 pro je venku. Ale bez","Anonymous",0,"Reflection","2024-12-03T21:39:25.286Z","","What didn't go well 😞","PS5 pro je venku. Ale bez mechaniky a za 21K . Vyplatí se to?"
"Rozšiřují se občas vaše kruhy","Anonymous",0,"Reflection","2024-12-03T21:37:31.022Z","","What went well 😄","Rozšiřují se občas vaše kruhy o nové lidi? Nebo se pohybujete pořád ve stejné bublině lidí Či se ten okruh dokonce zmenšuje."
"Proč je v Česku stále takový","Anonymous",0,"Reflection","2024-12-03T12:29:28.006Z","","What didn't go well 😞","Proč je v Česku stále takový problém pro lidi pochopit to, když někdo o znásilnění promluví až po několika letech? 🤔

Ti, co se do toho nedokáží vcítit by si měli pustit mini seriál Pět let na iVysílání. Je to hezky přiblížený a makes sense 👏"
"S Vláďou jsem řešil, že jsem","Anonymous",0,"Reflection","2024-12-03T08:33:17.353Z","","What didn't go well 😞","S Vláďou jsem řešil, že jsem neměl trávu 8 let a nechybí mi. Načež přijedu domů a předávkuju se THC 😂




Jsem v programu se zádama, kdy dávkuju denně kapky s canabis s tím, že nevím jestli to je nebo není placebo. No, trochu jsem doháněl missnuté dávky z anglie a nevyšlo to.




Opět stejné stavy, kdy jsem málem zdechnul panikou a ztrátou focusu. Fakt mi ta věc nedělá dobře 😠"
"Poslouchal jsem podcast o","Anonymous",0,"Reflection","2024-11-27T18:06:37.467Z","","What went well 😄","Poslouchal jsem podcast o neutrální uhlíkové stopě - meeting OSN co se koná každý rok. Je to super, že se s tím státy snaží něco dělat i když to pro mnohé znamená ztrátu příjmu - státy co žijí z ropy. Čína začala vyrábět větrné elektrárny a soláry levně. Letos půl aut co si prodalo bylo elektro, čímž v eko přístupu brzy nechtěně předběhne evropu. Zmiňuju to proto, protože se stále najdou lidi, kteří absolutně nechápou rozsah aktuálního oteplování v důsledku emisí a tvrdí, že elektro nemá co diktovat Brusel ale trh. Tahle věc je mnohem větší než nějaké umělé systémy jako je ekonomika a trh. Lidi nemají pokoru. Pojďme to změnit a lidem co to nechápou to vysvětleme. Je to pro nás to nejlepší a nikomu to neubližije. Jak k tomu přispějete vy?"
"V dnešní době pořád nemůžeš","Anonymous",0,"Reflection","2024-11-27T18:01:53.968Z","","What didn't go well 😞","V dnešní době pořád nemůžeš nic plánovat. Jedu vlakem z Pha a mám mít v PCE 5 minut na přestup na mhd, jinak budu čekat další půl hodinu. Vlak však během hodiny nabere 7 minut zpoždění. Jak se to vůbec může stát, když na trase není výluka? Proč to v Japonsku jde a tady ne. Myslím že by EU měla stanovit maximální zpoždění vlaků jinak dráhy platí pokuty."
"0-4 roky trvalo dostat se na","Anonymous",0,"Reflection","2024-11-26T22:31:21.010Z","","What didn't go well 😞","0-4 roky trvalo dostat se na 30 tisíc Kč na brigádách měsíčně.

Tři roky full-time jsem dřel abych se dostal na 50k fakturu a marně. Musel jsem kvůli té hranici do jiné práce. 

Zdvojnásobit částku trvalo další 3 roky. V průběhu dalšího 3. roku se to opět znásobí.




Otázka: Má cenu to ještě pushovat na další 3 roky v jiné firmě, nebo je to už strop? 🤔




Co byste řekli svému mladšímu já když byste si mohli něco předat 10 let zpět?"
"Musk chce zakázat remote","Anonymous",0,"Reflection","2024-11-26T12:49:02.219Z","","What didn't go well 😞","Musk chce zakázat remote office. Logický tah pro muže, který žije prodejem prostředků, který přesouvá lidi z domu do práce. 

Když by Musk vlastnil ZOOM, Teamsy a žil z toho, tak by nic takového nechtěl.

Change my mind, že je to zaujatá pička."
"Svět je pro mladé plné","Anonymous",0,"Reflection","2024-11-26T10:55:26.334Z","","What didn't go well 😞","Svět je pro mladé plné dokonalostí na sítích - kariéra, vzhled, sex.. Kdo by pak chtěl žít nudný život plný nedokonalostí? 




Co si o tom myslíte? Měly by se regulovat telefony a sítě pro děti do 15 let?"
"AirBank má omezený budget na","Anonymous",0,"Reflection","2024-11-26T10:55:21.746Z","","What didn't go well 😞","AirBank má omezený budget na příští rok co se týče peněz pro kontraktory. Je konec žní? 🌽 (""Museli jsme to tam trochu přeskládat"")"
"22 kandidátů, z toho 15","Anonymous",0,"Reflection","2024-11-26T10:55:17.068Z","","What didn't go well 😞","22 kandidátů, z toho 15 dobrých. Jak tohle dopadne? ANEB Co Kuba řekl v 1. kole pohovoru v Airbank? Proč nejprve všichni říkali, že je dobrej a do 2. kola půjde a pak najednou že ne?"
"Psáno 13. 11. ve vlaku z","Anonymous",0,"Reflection","2024-11-26T10:54:43.639Z","","What didn't go well 😞","Psáno 13. 11. ve vlaku z Prahy do Pce, když mi krysy poslali společnou fotku z gymu. 4 hodiny potom, co jsem psal jak je listopad depresivní a že jsem nešťastnej. Děkuju za endorfíny, které jsem cvičením s kamarády dostal - akorát že vůbec."
"Manželství stejnopohlavních","Anonymous",0,"Reflection","2024-11-26T10:54:36.133Z","","What didn't go well 😞","Manželství stejnopohlavních párů. Co je komu co do toho, kdo koho kam mrdá a kdo s kým kde jak žije. Proč to holanďani pochopili a uznali už v roce 2001 a my to stále neuznáváme? 👦 👦"
"Jaký je to život, když musíš","Anonymous",0,"Reflection","2024-11-26T10:54:32.117Z","","What didn't go well 😞","Jaký je to život, když musíš ve 30 každý rok dva na FB repostnout fotky ze střední s tím, jak to bylo super skvělý. Když pomynu fakt, že to skvělý nebylo, tak vám přijde ok at nad tím pořád rozplývat? A ano, příspěvek publikovala nejtlustší holka ze třídy žijící v Broumově. 🧈"
"Listopad je nejhorší měsíc.","Anonymous",0,"Reflection","2024-11-26T10:54:47.032Z","","What didn't go well 😞","Listopad je nejhorší měsíc. Je zima a vlhko, hnusný barvy, smrad tlejícího listí, tma, bez sněhu.. Myslím že už vloni jsem to do retra dával a stále to platí. Pls make listopad end. ✅"
"vlado: Příjmy (vs. výdaje)","Anonymous",0,"Reflection","2024-11-26T10:54:21.908Z","","What didn't go well 😞","vlado: Příjmy (vs. výdaje) 2024, jak jste na tom?"
"VLADO: gymísek je fakt dobrá","Anonymous",0,"Reflection","2024-11-26T10:53:00.016Z","","What went well 😄","VLADO: gymísek je fakt dobrá věc"
"Nastoupí Kuba","Anonymous",0,"Reflection","2024-11-26T10:52:50.343Z","","What went well 😄","Nastoupí Kuba do AirBank? 🤔"
"Fiala spustil s ODS a celkově","Anonymous",0,"Reflection","2024-11-26T10:52:42.256Z","","What went well 😄","Fiala spustil s ODS a celkově SPOLU web a rozhovory a kampaně na to, že jsou nejlepší vláda co tu byla od 89.

Myslím si, že je to výherní strategie - Babiško a ostatní dělají to samé a lidi tomu věří. Dokáže SPOLU přitáhnout nové voliče od Babiška? 🙏

Moc bych si to přál jen kvůli tomu, aby se ukázalo, že lidi jsou tupí a jen hloupě naslouchají."
"Druhý den po obstřiku bederní","Anonymous",0,"Reflection","2024-11-26T10:52:05.415Z","","What went well 😄","Druhý den po obstřiku bederní páteře. Až když člověk přestane cítit bolest, uvědomí si, jak moc špatný to je. Dá se na tom udělat závislost?"
"Vláďa mi zařídil Multisport.","Anonymous",0,"Reflection","2024-11-26T10:51:51.909Z","","What went well 😄","Vláďa mi zařídil Multisport. Už zase můžu žít naplno ♥️"
"Takže jak to je s těmi","Anonymous",0,"Reflection","2024-11-26T10:51:46.538Z","","What went well 😄","Takže jak to je s těmi společnými výlety? Jet v listopadu s lidma z práce na kanáry a pak znovu na silvestra je ok, ale jet tam znovu za 2 měsíce je problém? 🤔 Takže kdo jsou ti praví kamarádi?"
