"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Proč FIMka láká lidi na školu","Anonymous",0,"Reflection","2023-07-01T19:38:22.794Z","","Sad","Proč FIMka láká lidi na školu s fotkou lidí v cyklodresech? Pak se diví že tam nikdo nechce :/ https://www.facebook.com/100058108403529/posts/768813895065550/?sfnsn=mo"
"Snižování důvěryhodnosti","Anonymous",0,"Reflection","2023-07-13T08:55:39.011Z","","Mad","Snižování důvěryhodnosti dopravního značení. Kolik značek je moc značek? Je možné guerillové řešení tohoto problému?"
"Jel by někdo z vás na","Anonymous",0,"Reflection","2023-07-11T06:36:06.434Z","","Sad","Jel by někdo z vás na dovolenou s manželi (muž a žena) dělat třetí kolo u vozu na pár týdnů do Itálie? 🤔 Myslím, že nikdo z nás.. ale přeci se někdo takový našel 🐴"
"Vzpomeňme si na fakt, že byl","Anonymous",0,"Reflection","2023-06-20T14:09:46.221Z","","Mad","Vzpomeňme si na fakt, že byl někdo z nás otevíračem dárků jako kůň nařčen z toho, že si řekl o 200Kč korun na benzín víc na teambuildingu ze zneužívání společnosti 🤔




Hehe.. fair enough? (Nemyslím si)




Anyways - je podle vás ok, že tento koňomrd přitáhne Koprdu v 10 večer do práce, aby mu nafotil novou profilovou fotku do nějaké DJ soutěže a nechá to celé Koprdu včetně úprav vytrackovat na Dami práce kancl? 😬




Je to pokrytecké? Alibistické? Oxymorónské? Můžeme prosím tu tlustou svini potopit jak jen hluboko to půjde? 🙏"
"Mrtki","Anonymous",0,"Reflection","2023-06-16T04:13:38.011Z","","Mad","Transgender mrtki ve sportech "
"Vyjednávací schopnosti a","Anonymous",0,"Reflection","2023-06-16T11:27:39.627Z","","Glad","Vyjednávací schopnosti a velký biceps? Jsme zatím 50 na 50, kdy se hodí mít velké bicepsy. Co k tomu může říct Kuba a jak si Dušan pumpnul hodinovku? 🤔 💪"
"Jsem rasista, když nenávidím","Anonymous",0,"Reflection","2023-06-16T08:14:42.019Z","","Sad","Jsem rasista, když nenávidím úplně všechny nehledě na barvu a orientaci? 🧠"
"Vegani hubi sami sebe na horach","Anonymous",0,"Reflection","2023-06-15T11:56:24.233Z","","Glad","Vegani hubi sami sebe na horach"
"Dami gaze","Anonymous",0,"Reflection","2023-06-15T11:54:13.323Z","","Glad","Dami Gaze"
"Pojďme si společně","Anonymous",0,"Reflection","2023-06-15T10:52:43.705Z","","Glad","Pojďme si společně prokliknout tento odkaz ♥️




https://www.timeanddate.com/countdown/taxday?iso=20230801T08&p0=204&msg=Mat%C4%9Bj+v+Pardubic%C3%ADch+%F0%9F%8E%89&font=sanserif&csz=1"
"Pokud potkám tlustého nebo","Anonymous",0,"Reflection","2023-06-09T15:21:36.524Z","","Sad","Pokud potkám tlustého nebo jinak nechutného jedince: je to s vysokou pravděpodobností volič Babiše? 🤗"
"Chybí mi tu sloupeček Gay..","Anonymous",0,"Reflection","2023-06-07T21:06:53.071Z","","Mad","Chybí mi tu sloupeček Gay.. tam by se vešla spousta informací. Je lepší RFP nebo kolo? 🏳️‍🌈"
"Jsou mezi námi tací, kteří za","Anonymous",0,"Reflection","2023-06-07T21:12:04.683Z","","Sad","Jsou mezi námi tací, kteří za primární dopravní prostředek označili onewheel. Následně si však koupili jízdní kolo."
"Proč kurva když na Macu","Anonymous",0,"Reflection","2023-06-07T20:28:37.426Z","","Mad","Proč kurva když na Macu vyberu jednoho z nabídky smajlíků se ihned nabídka zavře a nemůžu přidávat další? ❓

Jak vůbec někdo může hájit MacOS co se týče UX/UI? Hnusná zastaralá gradientí grafika, špatně rozmístěné ikonky, naprosto nulový window manager, zbytečné otravné notifikace na které se nedá kliknout na pidi křížek a mnohé další, co tento systém svým uživatelům dopřává. Proč to prostě neudělají lépe? To se tak moc straní použití funkčních věcí z Linux a Windows, aby je někdo nepomluvil, že kopírují? ⛏️"
"Volvo EX30 - nejmenší,","Anonymous",0,"Reflection","2023-06-07T20:25:31.665Z","","Glad","Volvo EX30 - nejmenší, nejrychlejší, nejekologičtější, nejrozumnější elektrické SUV s dojezdem téměř 500km.

Je to allCarYouNeed jako byla označena nová Fabia? 🚙"
"Proč se smějeme českým dezolé","Anonymous",0,"Reflection","2023-06-07T20:24:10.825Z","","Mad","Proč se smějeme českým dezolé hovnům a pak přijedou civilizováni západští fanoušci WestHamu a zasypou Staromák odpadkama. Není přeci jen Rusko lepší cestou? ☠️

(Debata s 10 vteřinama pro každého člena na vyjádření svého názoru)"
"Půjde Kuba i Dušan do","Anonymous",0,"Reflection","2023-06-07T20:23:53.016Z","","Glad","Půjde Kuba i Dušan do Airbank? 💵

A zařídí Kuba Petrovi ČSOB ""full-time"" za 2 hodiny týdně na dobré živobytíčko?"
"Dovolím si ještě jeden bodík","Anonymous",0,"Reflection","2023-06-07T20:22:55.714Z","","Glad","Dovolím si ještě jeden bodík k Matějově nové práci, abychom si ukázali groupování kartiček v parabolu 🧠 - Jak dopadle MD rate pro Matěje?"
"Z hlaváku do Dejvic rychleji","Anonymous",0,"Reflection","2023-06-07T13:04:18.462Z","","Glad","Z hlaváku do Dejvic rychleji na one wheelu 👩‍🦽 než metrem? Za kolik jízd se taková investice vrátí?"
"Na meetingu, kde jsem měl","Anonymous",0,"Reflection","2023-06-07T13:03:14.725Z","","Sad","Na meetingu, kde jsem měl otevřený svůj neoblíbený Mac Air jsem byl označen za příznivce applu 🤔 a přiznám se, že mi to trochu zavadilo. Jak používat korporátní device aniž by se mi lidi smáli?"
"Pět týdnů v pražském Metru na","Anonymous",0,"Reflection","2023-06-05T06:46:08.660Z","","Mad","Pět týdnů v pražském Metru na nejfrekventovanější přestupní stanici Muzeum: 

Stále nejsou fixlé 2 eskalátory. Byznys plán? 🥺

Je to opravdu tak těžké opravit fakin eskalátor? Když je to dopíči takový pain, proč se nevymyslí něco lepšího?"
"Chtěl bych něco jako","Anonymous",0,"Reflection","2023-06-05T14:48:10.942Z","","Sad","Chtěl bych něco jako sluchátka s active smrad cancellation.. v pražském metru po slabém dešti by se to teda hodilo 🥺"
"Co Matěj a nová práce?","Anonymous",0,"Reflection","2023-06-03T10:28:56.779Z","","Glad","Co Matěj a nová práce? 😍"
"Kdy začal VW vyrábět auta co","Anonymous",0,"Reflection","2023-08-29T15:54:09.963Z","","Mad","Kdy začal VW vyrábět auta co zreznou za 13 let... aneb vyplatí se nechat si vyvoskovat karoserii hned po nákupu vozu?"
"Pivovarské domy mají jen ve","Anonymous",0,"Reflection","2023-08-30T16:28:59.429Z","","Glad","Pivovarské domy mají jen ve středu a od 6. We are lucky bastards"
"Jaký je život jako","Anonymous",0,"Reflection","2023-08-30T16:26:56.809Z","","Sad","Jaký je život jako ženich?"
"kdo si s náma zítra jde do MS","Anonymous",0,"Reflection","2023-08-30T16:24:08.456Z","","Glad","kdo si s náma zítra jde do MS pro dort?"
"Je potřeba nebezpečných mostů","Anonymous",0,"Reflection","2023-08-30T16:27:31.323Z","","Mad","Je potřeba nebezpečných mostů na D11?"
"může být dobrý dort s","Anonymous",0,"Reflection","2023-08-30T16:18:07.366Z","","Sad","může být dobrý dort s aspartamem?"
"nic si nekupuju a přesto","Anonymous",0,"Reflection","2023-08-30T16:15:40.292Z","","Sad","nic si nekupuju a přesto utratím 100k měsíčně (byl ten oblek potřeba?)"
"Šikanování minorit","Anonymous",0,"Reflection","2023-08-30T16:14:28.815Z","","Sad","šikanování minorit"
"patříme na","Anonymous",0,"Reflection","2023-08-30T16:13:58.647Z","","Sad","patříme na východ?"
"Javascript","Anonymous",0,"Reflection","2023-08-30T08:40:36.947Z","","Mad","Javascript je na hovno, ale typescript to všechno řeší... they said"
"Osm měsíců práce v bance. Je","Anonymous",0,"Reflection","2023-08-28T15:46:33.991Z","","Glad","Osm měsíců práce v bance. Je to top job nebo je to ještě lepší? 🤔"
"kdyby pajule a kotula měli","Anonymous",0,"Reflection","2023-08-30T13:20:46.716Z","","Glad","kdyby pajule a kotula měli dítě, bude to Kojule, nebo Patula?"
"nebaví mě cvičení ani život","Anonymous",0,"Reflection","2023-08-29T19:56:38.412Z","","Mad","nebaví mě cvičení ani život (mám málo tesťáku?)"
"Pochody gejů","Anonymous",0,"Reflection","2023-08-29T11:28:47.439Z","","Mad","pochody gejů"
"Retrospektivy by se měly","Anonymous",0,"Reflection","2023-08-28T08:18:52.044Z","","Sad","Retrospektivy by se měly dělat každé max 3 týdny a ne 3 měsíce, jako to předvádíme nyní 🤔"
"Cikáni","Anonymous",0,"Reflection","2023-08-30T16:13:49.541Z","","Sad","cikáni vs Ukrajinci"
"Máme konec července a na","Anonymous",0,"Reflection","2023-08-02T06:27:29.302Z","","Glad","Máme konec července a na Vencu dopadají boží mlýny? Lidi odchází, všichni vidí to samé co já.. (Škoda že až teď) 🥰"
"Lidi v MS dostávají dorty při","Anonymous",0,"Reflection","2023-08-02T06:32:30.008Z","","Glad","Lidi v MS dostávají dorty při odchodu 🥰 a Míra si nedokáže představit, že by to někdy bylo jinak. Co si z toho odnést? 🥺 Měl by majitel společnosti na sítích otevřeně lhát?"
"kdyby pajule a kotula měli","Petr Weissar",0,"Task","2023-08-30T16:50:47.090Z","Pustit patula a kojuli","","Pustit patula a kojuli"
"Je potřeba nebezpečných mostů","Petr Weissar",0,"Comment","2023-08-30T16:52:19.917Z","Ne","","Ne"
"Snižování důvěryhodnosti","Petr Weissar",0,"Task","2023-08-30T17:23:09.626Z","Probrat později","","Probrat později"
